2024-10-18T07:23:38.534Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:24:00.909Z	 stat 	CPU: 0m, MEMORY: Alloc=5.9Mi, TotalAlloc=31.9Mi, Sys=18.6Mi, NumGC=11	caller=stat/usage.go:61
2024-10-18T07:24:01.063Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:24:38.532Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:25:00.907Z	 stat 	CPU: 0m, MEMORY: Alloc=5.4Mi, TotalAlloc=34.8Mi, Sys=18.6Mi, NumGC=12	caller=stat/usage.go:61
2024-10-18T07:25:01.061Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:25:38.530Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:26:00.916Z	 stat 	CPU: 0m, MEMORY: Alloc=5.2Mi, TotalAlloc=37.8Mi, Sys=18.6Mi, NumGC=13	caller=stat/usage.go:61
2024-10-18T07:26:01.059Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:26:38.528Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:27:00.903Z	 stat 	CPU: 0m, MEMORY: Alloc=4.7Mi, TotalAlloc=40.7Mi, Sys=18.6Mi, NumGC=14	caller=stat/usage.go:61
2024-10-18T07:27:01.057Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:27:38.525Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:28:00.901Z	 stat 	CPU: 0m, MEMORY: Alloc=4.5Mi, TotalAlloc=43.6Mi, Sys=18.6Mi, NumGC=15	caller=stat/usage.go:61
