2024-10-18T07:40:18.901Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:40:26.541Z	 stat 	CPU: 0m, MEMORY: Alloc=4.7Mi, TotalAlloc=58.6Mi, Sys=22.8Mi, NumGC=19	caller=stat/usage.go:61
2024-10-18T07:40:26.668Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:41:18.899Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:41:26.540Z	 stat 	CPU: 0m, MEMORY: Alloc=4.1Mi, TotalAlloc=61.5Mi, Sys=22.8Mi, NumGC=20	caller=stat/usage.go:61
2024-10-18T07:41:26.666Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:42:18.897Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:42:26.537Z	 stat 	CPU: 0m, MEMORY: Alloc=7.0Mi, TotalAlloc=64.4Mi, Sys=22.8Mi, NumGC=20	caller=stat/usage.go:61
2024-10-18T07:42:26.664Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:43:18.895Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:43:26.536Z	 stat 	CPU: 0m, MEMORY: Alloc=6.5Mi, TotalAlloc=67.4Mi, Sys=22.8Mi, NumGC=21	caller=stat/usage.go:61
2024-10-18T07:43:26.662Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:44:18.893Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:44:26.544Z	 stat 	CPU: 0m, MEMORY: Alloc=5.9Mi, TotalAlloc=70.3Mi, Sys=22.8Mi, NumGC=22	caller=stat/usage.go:61
2024-10-18T07:44:26.660Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:45:18.891Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:45:26.543Z	 stat 	CPU: 0m, MEMORY: Alloc=5.3Mi, TotalAlloc=73.2Mi, Sys=22.8Mi, NumGC=23	caller=stat/usage.go:61
2024-10-18T07:45:26.658Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:46:18.887Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:46:26.528Z	 stat 	CPU: 0m, MEMORY: Alloc=4.7Mi, TotalAlloc=76.1Mi, Sys=22.8Mi, NumGC=24	caller=stat/usage.go:61
2024-10-18T07:46:26.654Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:47:18.886Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:47:26.527Z	 stat 	CPU: 0m, MEMORY: Alloc=4.2Mi, TotalAlloc=79.0Mi, Sys=22.8Mi, NumGC=25	caller=stat/usage.go:61
2024-10-18T07:47:26.654Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:48:18.884Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:48:26.525Z	 stat 	CPU: 0m, MEMORY: Alloc=4.0Mi, TotalAlloc=82.0Mi, Sys=22.8Mi, NumGC=26	caller=stat/usage.go:61
2024-10-18T07:48:26.651Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:49:18.883Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:49:26.523Z	 stat 	CPU: 0m, MEMORY: Alloc=6.9Mi, TotalAlloc=84.9Mi, Sys=22.8Mi, NumGC=26	caller=stat/usage.go:61
2024-10-18T07:49:26.649Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:50:18.880Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
