2024-10-18T09:14:29.864Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:14:30.879Z	 stat 	CPU: 0m, MEMORY: Alloc=9.0Mi, TotalAlloc=50.5Mi, Sys=30.8Mi, NumGC=9	caller=stat/usage.go:61
2024-10-18T09:14:31.082Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:15:29.863Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:15:30.872Z	 stat 	CPU: 0m, MEMORY: Alloc=11.9Mi, TotalAlloc=53.3Mi, Sys=30.8Mi, NumGC=9	caller=stat/usage.go:61
2024-10-18T09:15:31.079Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:16:29.860Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:16:30.869Z	 stat 	CPU: 0m, MEMORY: Alloc=9.0Mi, TotalAlloc=56.2Mi, Sys=30.8Mi, NumGC=10	caller=stat/usage.go:61
2024-10-18T09:16:31.077Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:17:29.857Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:17:30.866Z	 stat 	CPU: 0m, MEMORY: Alloc=11.8Mi, TotalAlloc=59.1Mi, Sys=30.8Mi, NumGC=10	caller=stat/usage.go:61
2024-10-18T09:17:31.074Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:18:29.855Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:18:30.864Z	 stat 	CPU: 0m, MEMORY: Alloc=8.9Mi, TotalAlloc=62.0Mi, Sys=30.8Mi, NumGC=11	caller=stat/usage.go:61
2024-10-18T09:18:31.072Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:19:29.851Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:19:30.861Z	 stat 	CPU: 0m, MEMORY: Alloc=12.0Mi, TotalAlloc=65.0Mi, Sys=30.8Mi, NumGC=11	caller=stat/usage.go:61
2024-10-18T09:19:31.068Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:20:29.849Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:20:30.858Z	 stat 	CPU: 0m, MEMORY: Alloc=8.9Mi, TotalAlloc=67.9Mi, Sys=30.8Mi, NumGC=12	caller=stat/usage.go:61
2024-10-18T09:20:31.067Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:21:29.850Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:21:30.857Z	 stat 	CPU: 0m, MEMORY: Alloc=11.8Mi, TotalAlloc=70.8Mi, Sys=30.8Mi, NumGC=12	caller=stat/usage.go:61
2024-10-18T09:21:31.064Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:22:29.844Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:22:30.854Z	 stat 	CPU: 0m, MEMORY: Alloc=8.9Mi, TotalAlloc=73.7Mi, Sys=30.8Mi, NumGC=13	caller=stat/usage.go:61
2024-10-18T09:22:31.061Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:23:29.841Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:23:30.862Z	 stat 	CPU: 0m, MEMORY: Alloc=11.8Mi, TotalAlloc=76.6Mi, Sys=30.8Mi, NumGC=13	caller=stat/usage.go:61
2024-10-18T09:23:31.059Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:24:29.840Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:24:30.848Z	 stat 	CPU: 0m, MEMORY: Alloc=9.0Mi, TotalAlloc=79.6Mi, Sys=30.8Mi, NumGC=14	caller=stat/usage.go:61
2024-10-18T09:24:31.057Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:25:29.837Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:25:30.858Z	 stat 	CPU: 0m, MEMORY: Alloc=11.9Mi, TotalAlloc=82.5Mi, Sys=30.8Mi, NumGC=14	caller=stat/usage.go:61
2024-10-18T09:25:31.054Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:26:29.834Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:26:30.844Z	 stat 	CPU: 0m, MEMORY: Alloc=8.9Mi, TotalAlloc=85.4Mi, Sys=30.8Mi, NumGC=15	caller=stat/usage.go:61
2024-10-18T09:26:31.052Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:27:29.833Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:27:30.842Z	 stat 	CPU: 0m, MEMORY: Alloc=11.8Mi, TotalAlloc=88.2Mi, Sys=30.8Mi, NumGC=15	caller=stat/usage.go:61
2024-10-18T09:27:31.049Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:28:29.830Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:28:30.839Z	 stat 	CPU: 0m, MEMORY: Alloc=8.9Mi, TotalAlloc=91.1Mi, Sys=30.8Mi, NumGC=16	caller=stat/usage.go:61
2024-10-18T09:28:31.047Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:29:29.828Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:29:30.837Z	 stat 	CPU: 0m, MEMORY: Alloc=11.9Mi, TotalAlloc=94.2Mi, Sys=30.8Mi, NumGC=16	caller=stat/usage.go:61
2024-10-18T09:29:31.045Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:30:29.826Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:30:30.835Z	 stat 	CPU: 0m, MEMORY: Alloc=8.9Mi, TotalAlloc=97.1Mi, Sys=30.8Mi, NumGC=17	caller=stat/usage.go:61
2024-10-18T09:30:31.043Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:31:29.823Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:31:30.833Z	 stat 	CPU: 0m, MEMORY: Alloc=11.7Mi, TotalAlloc=99.9Mi, Sys=30.8Mi, NumGC=17	caller=stat/usage.go:61
2024-10-18T09:31:31.041Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:32:29.820Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:32:30.832Z	 stat 	CPU: 0m, MEMORY: Alloc=8.8Mi, TotalAlloc=102.8Mi, Sys=30.8Mi, NumGC=18	caller=stat/usage.go:61
2024-10-18T09:32:31.038Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:33:29.819Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:33:30.828Z	 stat 	CPU: 0m, MEMORY: Alloc=11.7Mi, TotalAlloc=105.7Mi, Sys=30.8Mi, NumGC=18	caller=stat/usage.go:61
2024-10-18T09:33:31.036Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:34:29.816Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:34:30.826Z	 stat 	CPU: 0m, MEMORY: Alloc=8.8Mi, TotalAlloc=108.7Mi, Sys=30.8Mi, NumGC=19	caller=stat/usage.go:61
